studio_staff_num,screenplay_writer_num,#seasons,is_airing,in_seiyuu_rank,author,theme_singer,style,avg_rating,avg_ep_length,character_num,class
258,4,1,0,0,4,Hoshino Gen,運動,3.4636631728136105,30.198150793678124,21,refreshing
236,4,3,0,0,9,Chico with HoneyWorks,運動,2.4492742839271244,22.60065419592929,28,bland
64,5,3,1,0,1,Sawano Hiroyuki,戀愛,3.08094258560508,28.497410305144022,30,bland
59,4,4,0,1,9,Eve,戰鬥,3.5649735611060973,17.061910067665426,31,bland
243,2,1,0,0,5,Hoshino Gen,運動,4.35495235040219,24.544850574251754,32,bland
161,5,4,1,1,7,Lisa,搞笑,3.5819892607738546,24.85336706457112,31,bland
98,1,4,0,1,4,Mukai Taichi,戀愛,2.840174904535715,26.93566621479786,28,bland
293,5,5,0,1,1,Sawano Hiroyuki,戀愛,3.7088703745619807,28.803812312825876,24,refreshing
261,6,1,1,0,2,Sawano Hiroyuki,戰鬥,3.9403266456410493,26.39863792645368,27,bland
254,5,1,0,1,2,Kenshi Yonezu,戰鬥,4.734974241576183,31.316410730941072,29,bland
89,1,2,0,1,6,Mukai Taichi,奇幻,3.56853126165698,28.1760663816877,24,bland
280,6,1,0,0,8,Lisa,致鬱,3.575717830901745,21.593054541114515,27,bland
152,3,5,0,1,3,Lisa,運動,2.484146962111169,26.043690342038666,32,bland
203,5,1,1,1,0,Lisa,運動,3.3295796996933102,19.58154017081683,32,bland
58,5,5,1,0,4,Lisa,戰鬥,3.593604776333582,29.11651462055041,38,bland
291,2,3,1,0,1,Lisa,運動,3.6110099554578965,16.383355577019714,31,bland
184,5,4,1,1,2,Sawano Hiroyuki,戰鬥,3.5126221598994656,24.981869705952498,25,refreshing
271,6,1,0,0,7,Sawano Hiroyuki,奇幻,3.2831544431659143,25.994193090223856,27,bland
205,5,3,0,1,4,Lisa,奇幻,2.576561379358411,30.256256368022356,27,bland
196,2,5,1,0,3,Lisa,戰鬥,3.2333346846582214,21.471555455912263,21,bland
82,5,3,1,0,4,Mukai Taichi,運動,3.811226913535421,18.356910006785753,30,bland
68,4,5,1,0,8,Mukai Taichi,戰鬥,3.122193507219724,22.51627130650812,25,bland
245,1,5,1,1,6,Chico with HoneyWorks,運動,3.0840690698111852,30.349865735374113,29,bland
78,2,5,1,1,0,Lisa,懸疑,3.4350293226670723,22.567492580794024,27,bland
68,1,1,1,0,5,Chico with HoneyWorks,運動,4.290847142918135,25.13952063836657,27,bland
282,4,1,1,0,5,Sawano Hiroyuki,致鬱,3.2315548454599727,24.27729621211643,33,bland
