studio_staff_num,screenplay_writer_num,#seasons,is_airing,in_seiyuu_rank,author,theme_singer,style,avg_rating,avg_ep_length,character_num,class
94,4,4,0,1,7,Sawano Hiroyuki,運動,3.3809358527747464,22.63957418584941,34,bland
174,3,5,1,0,3,Chico with HoneyWorks,運動,4.401186937442114,25.81364428306585,17,bland
118,6,3,1,1,2,Kenshi Yonezu,奇幻,2.7916994307055063,20.096062275664156,18,bland
96,4,1,1,1,0,Sawano Hiroyuki,戰鬥,4.029899077518646,30.668459148072984,26,bland
61,3,2,0,0,4,Sawano Hiroyuki,戰鬥,3.5513459680312205,28.209907684688247,29,bland
253,2,3,1,0,5,Sawano Hiroyuki,戰鬥,3.417698788159485,26.252562012586342,31,bland
74,3,1,0,0,3,Hoshino Gen,戀愛,3.0726274870004984,20.5354606914797,36,bland
79,2,5,1,0,9,Lisa,奇幻,3.409110681368779,28.552370441158743,27,bland
150,1,1,1,0,6,Sawano Hiroyuki,戰鬥,3.6161684114314316,25.108814146428504,36,bland
50,3,5,0,1,6,Chico with HoneyWorks,戰鬥,4.630211635799278,28.086463216835877,33,bland
297,2,1,1,0,0,Kenshi Yonezu,戰鬥,4.186278048553065,16.840642155935345,40,bland
274,2,4,0,0,8,Hoshino Gen,懸疑,3.5411086069284834,31.5604618606151,31,bland
201,4,5,0,1,0,Kenshi Yonezu,運動,3.6331319261813864,18.96759717052735,27,bland
196,4,2,1,1,1,Lisa,懸疑,3.2559564348024157,22.711025898970185,32,bland
217,5,1,0,0,4,Lisa,運動,2.8028279855767715,27.63957775011692,29,bland
187,2,3,1,0,4,Lisa,搞笑,3.419878077641816,23.190808544271196,28,bland
282,5,4,1,1,7,Hoshino Gen,運動,3.4928556270210223,31.634837581431317,27,bland
241,5,5,1,0,0,Sawano Hiroyuki,運動,3.8070672889411235,30.88916078907239,32,bland
160,5,5,0,1,0,Sawano Hiroyuki,致鬱,2.875298635373436,27.51179575713516,29,bland
75,2,3,1,1,4,Sawano Hiroyuki,戰鬥,3.0007120300616887,12.016498448722475,33,bland
107,1,1,1,0,6,Lisa,奇幻,3.2834478729863807,21.45968362420133,31,bland
218,5,5,0,1,1,Eve,運動,3.689197225787653,30.79480278244243,30,refreshing
214,3,3,0,0,0,Kenshi Yonezu,運動,3.4042716719408026,21.84110488906573,37,bland
275,6,2,0,0,2,Sawano Hiroyuki,懸疑,3.3655294702981347,19.57722050550754,24,bland
222,3,5,0,0,8,Lisa,戰鬥,3.6902036754508036,18.950101990966836,22,bland
64,1,3,0,1,5,Lisa,運動,2.9208479805349605,30.685413292413852,34,bland
58,2,4,1,0,8,Eve,運動,3.331269095787581,29.575997327712486,20,bland
261,4,2,1,0,4,Sawano Hiroyuki,戰鬥,3.157727148626987,28.947250308720466,36,bland
182,1,2,0,1,6,Lisa,戀愛,3.5710987882999707,20.71886522370225,29,bland
133,3,2,0,1,5,Lisa,戀愛,3.970142027530112,25.171271320745504,31,bland
114,4,5,0,0,5,Lisa,戰鬥,3.365950119077115,25.45764048221663,20,bland
254,1,5,0,1,4,Eve,戰鬥,3.3398448856951597,20.815338003833073,23,bland
253,6,4,1,1,2,Kenshi Yonezu,致鬱,3.5920126310435894,34.1693450210152,33,refreshing
176,4,1,1,1,9,Sawano Hiroyuki,運動,3.6769425866538743,24.359867599942916,35,bland
169,5,3,1,0,1,Lisa,戀愛,3.389571847183877,14.121372951013303,34,bland
166,4,4,0,1,3,Lisa,戰鬥,2.7607230618005545,28.2267317817917,34,bland
103,6,5,1,0,6,Sawano Hiroyuki,運動,3.003302136764141,16.059805404083377,28,bland
275,5,2,1,0,4,Kenshi Yonezu,搞笑,4.4433294002661565,32.19551134018441,34,bland
230,2,1,1,0,6,Sawano Hiroyuki,運動,4.019481980194743,23.735724242940524,36,bland
163,4,3,1,1,9,Kenshi Yonezu,致鬱,2.7761219490981346,20.347098356969674,37,bland
237,2,2,1,1,2,Lisa,奇幻,3.090274398511916,32.45402441958355,28,bland
237,2,3,1,1,5,Sawano Hiroyuki,運動,3.5904671454010715,25.06207966866894,39,bland
133,5,1,1,1,2,Lisa,戀愛,4.651353626465681,28.74186724149471,25,bland
158,4,5,1,1,9,Sawano Hiroyuki,運動,4.23793570378848,19.865088557917527,38,masterpiece
164,6,2,0,0,0,Lisa,懸疑,2.174659672923341,25.690733197683578,23,bland
215,5,4,0,0,8,Sawano Hiroyuki,運動,3.8393351569664205,23.09902484513716,31,bland
222,5,5,0,0,7,Mukai Taichi,運動,4.031068589798656,21.163721422828317,28,bland
216,2,4,0,1,8,Kenshi Yonezu,奇幻,3.9696555720371043,20.82496469901995,34,bland
62,4,1,0,0,6,Lisa,戀愛,3.505735126019003,32.488822381059414,22,bland
222,3,3,0,0,6,Sawano Hiroyuki,搞笑,3.661925653333742,28.129907146409657,23,bland
103,6,5,0,1,3,Eve,運動,3.3428807472458364,25.1370793318298,24,bland
262,3,3,1,0,5,Lisa,運動,3.4998840009243066,29.31361468419297,28,bland
262,3,2,0,0,1,Sawano Hiroyuki,懸疑,3.665595221419308,28.769205274715695,24,bland
143,6,3,1,0,9,Lisa,運動,3.577902692517219,22.036370303584135,25,bland
195,5,2,0,0,0,Hoshino Gen,運動,4.018704997845799,25.827444348245177,33,bland
170,6,4,0,1,6,Lisa,致鬱,3.9394361463327257,29.912729834313065,24,bland
250,6,5,1,1,0,Lisa,運動,2.931001221297522,24.041283516136247,26,bland
190,2,2,1,0,6,Lisa,戰鬥,3.4391679305172924,14.167350518140701,25,bland
75,5,2,1,0,4,Chico with HoneyWorks,戰鬥,4.21614316045281,28.437564643164322,29,bland
69,1,4,0,0,6,Chico with HoneyWorks,懸疑,4.083068216321814,29.005685925609612,25,bland
292,1,2,0,1,5,Sawano Hiroyuki,戰鬥,3.8488181638076107,29.024407459154162,34,masterpiece
107,6,1,0,0,7,Lisa,運動,3.2302858122731104,38.140923768866315,26,bland
158,1,3,1,1,1,Sawano Hiroyuki,致鬱,3.2790271160237143,24.591480999868665,27,bland
190,4,4,0,1,5,Lisa,戀愛,3.460408059341829,34.380797268538124,13,bland
215,5,4,0,0,9,Eve,致鬱,2.8252817019195984,27.18513684461749,36,bland
73,4,5,0,0,2,Mukai Taichi,致鬱,3.9298323787722302,29.476055230596792,28,bland
79,3,4,0,0,9,Sawano Hiroyuki,戰鬥,3.966636443892916,23.41850813427712,31,bland
285,5,2,0,0,6,Hoshino Gen,致鬱,3.007111693449216,28.962359307121112,27,bland
225,3,1,0,0,6,Kenshi Yonezu,戰鬥,3.639460660901813,22.169949488981274,20,bland
291,2,4,1,0,0,Lisa,戰鬥,3.268884543340833,17.565977037177372,34,bland
54,3,3,1,1,9,Sawano Hiroyuki,運動,4.690142210639355,24.760986777841353,34,bland
118,5,1,0,1,7,Lisa,戀愛,3.739321784439672,32.36014034001717,34,bland
